Warning: truncated output (original token count: 108069)
Total output lines: 1538

CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,HardEventStepCount,HardEventEligibleFraction,HardEventOnsetCount,HardEventEpisodeCount,HardEventEpisodeFraction,HardEventCellCount,HardEventFamilyCount,GrowthOnlyEpisodeCount,GrowthOnlyCellCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,PositionForecastPositiveCount,AttitudeForecastPositiveCount,VelocityForecastPositiveCount,BodyRateForecastPositiveCount,ConstraintForecastPositiveCount,SaturationForecastPositiveCount,NonfiniteForecastPositiveCount,FirstPositionEventCount,FirstAttitudeEventCount,FirstVelocityEventCount,FirstBodyRateEventCount,FirstConstraintEventCount,FirstSaturationEventCount,FirstNonfiniteEventCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C047,0.1,5,0.5,4,2,3,477900,466921,0.977026574597196,15737,0.0329294831554719,0.0337037743001493,1398,672,0.248888888888889,107,5,7839,0.0167887072973801,595,246,0.0911111111111111,84,5,598,95,7407,802,4427,3606,22,38,461,359,0,4093,3311,0,0,395,297,0,7898,14.5923619495457,20,20
C048,0.1,5,0.5,4,2,5,477900,466921,0.977026574597196,15494,0.0324210085792007,0.0331833436491398,1281,667,0.247037037037037,105,5,7839,0.0167887072973801,595,246,0.0911111111111111,84,5,585,89,7407,802,4427,3606,22,38,461,359,0,4093,3311,0,0,395,297,0,7655,14.5075513101846,20,20
C049,0.1,5,0.75,1,1.25,3,477900,465928,0.974948734044779,34154,0.0714668340657041,0.0733031713054377,2919,1074,0.397777777777778,123,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,1024,116,12197,764,4375,3229,0,7371,461,321,0,3978,1849,0,6745,395,77,0,21897,16.1359138021901,20,20
C050,0.1,5,0.75,1,1.25,5,477900,465928,0.974948734044779,32750,0.0685289809583595,0.0702898301883553,2638,1062,0.393333333333333,118,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,999,108,12197,764,4375,3229,0,7371,461,321,0,3978,1849,0,6745,395,77,0,20493,15.9702595419847,20,20
C051,0.1,5,0.75,1,1.5,3,477900,465928,0.974948734044779,27639,0.057834274952919,0.0593203241702581,2527,989,0.366296296296296,121,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,932,113,12197,764,4375,3229,0,7371,461,321,0,3978,1849,0,6745,395,77,0,15382,15.2250805021889,20,20
C052,0.1,5,0.75,1,1.5,5,477900,465928,0.974948734044779,27071,0.0566457417869847,0.0581012516955409,2321,981,0.363333333333333,116,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,910,105,12197,764,4375,3229,0,7371,461,321,0,3978,1849,0,6745,395,77,0,14814,15.124893797791,20,20
C053,0.1,5,0.75,1,2,3,477900,465928,0.974948734044779,20336,0.0425528353211969,0.0436462286018441,1937,753,0.278888888888889,114,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,664,101,12197,764,4375,3229,0,7371,461,321,0,3978,1849,0,6745,395,77,0,8079,13.5103265145555,16,20
C054,0.1,5,0.75,1,2,5,477900,465928,0.974948734044779,20088,0.0420338983050847,0.0431139575213338,1814,746,0.276296296296296,110,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,644,94,12197,764,4375,3229,0,7371,461,321,0,3978,1849,0,6745,395,77,0,7831,13.4302070888092,16,20
C055,0.1,5,0.75,2,1.25,3,477900,466839,0.976854990583804,30402,0.0636158192090396,0.0651230938289217,2612,1037,0.384074074074074,119,5,8221,0.0176099254775201,628,249,0.0922222222222222,86,5,993,115,7861,797,4450,3576,0,1677,461,354,0,4092,2980,0,954,395,296,0,22181,17.0515097690941,20,20
C056,0.1,5,0.75,2,1.25,5,477900,466839,0.976854990583804,28867,0.0604038501778615,0.0618350223524598,2281,1019,0.377407407407407,116,5,8221,0.0176099254775201,628,249,0.0922222222222222,86,5,969,110,7861,797,4450,3576,0,1677,461,354,0,4092,2980,0,954,395,296,0,20646,16.8947240793986,20,20
