CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C077,0.1,20,0.3,1,2,3,477900,466523,0.976193764385855,17249,0.0360933249633815,0.0369735254210403,1701,572,0.211851851851852,112,5,12135,782,5053,12.3306858368601,13,20
C078,0.1,20,0.3,1,2,5,477900,466523,0.976193764385855,17042,0.0356601799539653,0.0365298173937834,1582,556,0.205925925925926,110,5,12135,782,4846,12.2375308062434,13,20
C079,0.1,20,0.5,1,1.25,3,477900,466708,0.976580874659971,31035,0.0649403640929065,0.0664976816339124,2629,964,0.357037037037037,120,5,11970,783,19004,15.8170130497825,20,20
C080,0.1,20,0.5,1,1.25,5,477900,466708,0.976580874659971,29669,0.0620820255283532,0.063570798015033,2297,938,0.347407407407407,115,5,11970,783,17638,15.6244227982069,20,20
C081,0.1,20,0.5,1,1.5,3,477900,466708,0.976580874659971,23757,0.0497112366603892,0.0509033485605561,2219,813,0.301111111111111,117,5,11970,783,11726,14.5355474176032,20,20
C082,0.1,20,0.5,1,1.5,5,477900,466708,0.976580874659971,23232,0.0486126804770873,0.0497784481945885,1998,794,0.294074074074074,113,5,11970,783,11201,14.4120609504132,20,20
C083,0.1,20,0.5,1,2,3,477900,466708,0.976580874659971,17034,0.0356434400502197,0.0364981958740797,1673,579,0.214444444444444,109,5,11970,783,5003,12.3788305741458,13,20
C084,0.1,20,0.5,1,2,5,477900,466708,0.976580874659971,16805,0.0351642603055032,0.0360075250477815,1543,562,0.208148148148148,107,5,11970,783,4774,12.2749776852127,13,20
C085,0.1,20,0.75,1,1.25,3,477900,466709,0.976582967147939,30971,0.064806444862942,0.0663604087343505,2650,977,0.361851851851852,120,5,11971,783,18939,15.8077879306448,20,20
C086,0.1,20,0.75,1,1.25,5,477900,466709,0.976582967147939,29647,0.0620359907930529,0.0635235232232505,2300,947,0.350740740740741,114,5,11971,783,17615,15.6205686916045,20,20
C087,0.1,20,0.75,1,1.5,3,477900,466709,0.976582967147939,23733,0.0496610169491525,0.0508518155853005,2226,829,0.307037037037037,118,5,11971,783,11701,14.5292630514474,20,20
C088,0.1,20,0.75,1,1.5,5,477900,466709,0.976582967147939,23233,0.0486147729650555,0.0497804841989334,2007,808,0.299259259259259,114,5,11971,783,11201,14.4115267077003,20,20
C089,0.1,20,0.75,1,2,3,477900,466709,0.976582967147939,17022,0.0356183301946014,0.0364724057174813,1681,586,0.217037037037037,110,5,11971,783,4990,12.372400422982,13,20
C090,0.1,20,0.75,1,2,5,477900,466709,0.976582967147939,16801,0.0351558903536305,0.0359988772447071,1547,571,0.211481481481481,108,5,11971,783,4769,12.2720671388608,13,20
